12/10/2006 13:36:53: [FileLogger] | INFO | +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-++
12/10/2006 13:36:53: [FileLogger] | INFO | +                     Peon Game Framework - Event log                          +
12/10/2006 13:36:53: [FileLogger] | INFO | +                       (http://peon.wazooinc.com/)                            +
12/10/2006 13:36:53: [FileLogger] | INFO | +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+

12/10/2006 13:36:53: [FileLogger] | INFO | peon::FileLogger singleton created.
12/10/2006 13:36:53: [EngineCore] | INFO | Using Peon SDK Version: 1.7.5
12/10/2006 13:36:53: [EngineCore] | INFO | SDL created
12/10/2006 13:36:53: [EngineCore] | INFO | peon::IniConfigReader created
12/10/2006 13:36:53: [Renderer] | INFO | Renderer surface: (800 x 600 x 16)
12/10/2006 13:36:53: [Renderer] | INFO | Renderer surface: applying windowed
12/10/2006 13:36:53: [Renderer] | INFO | Renderer Vendor: Intel
12/10/2006 13:36:53: [Renderer] | INFO | Renderer Stats: Intel 845G
12/10/2006 13:36:53: [Renderer] | INFO | Renderer Version: 1.3.0 - Build 4.14.10.3889
12/10/2006 13:36:53: [EngineCore] | INFO | peon::SceneRenderer created
12/10/2006 13:36:53: [InputEngine] | INFO | No joystick devices connected
12/10/2006 13:36:53: [EngineCore] | INFO | peon::InputEngine created
12/10/2006 13:36:53: [EngineCore] | INFO | peon::MathUnit created
12/10/2006 13:36:53: [EngineCore] | INFO | peon::AudioEngine created
